861506840	@dbongino The Mullah, is fulla', Obama Cash,While BiBi takes out the nuclear trash.	2018-04-30 18:38:15	None	991023943497732096  0
949326035740487680	The Israelis have balls of steel. https://t.co/BIZlsleuHQ	2018-04-30 18:38:15	None	991023943824887809  1
961821039683559425	Obama did enough for this country and lets not forget! he did it while the house was Republican .	2018-04-30 18:38:15	None	991023944374333440  1
958796839024644096	@thehill But this was ok, right? Dont remember the outrage about this lovely  https://t.co/ibvEbnn1SQ	2018-04-30 18:38:15	None	991023944307273728  0
920219844	Customers threaten to cancel their Netflix subscriptions after former UN Ambassador Susan Rice is named to its board  What are you doing Netflix wanting to give Obama a show &amp; now this With a flick be gone  https://t.co/EzWBqPag74	2018-04-30 18:38:15	None	991023945926299649  0
776774033723437060	@WiredSources Obama = Worst President in American History	2018-04-30 18:38:15	None	991023945871540224  0
986291686564384768	@jesusortegam @PRDVER Ortega desde sus oficinas lujosas que no tiene ni Obama haciendo campaa por los salinistas del #Prian	2018-04-30 18:38:15	None	991023946786136064  0
79875177	Obama is Savage AF!! https://t.co/rh2vB3mHRm	2018-04-30 18:38:15	None	991023946702221313  1
245088718	Offset, Sasha Obama &amp; Cardi B at @BroccoliCity yesterday  https://t.co/aVfTjNBJnz	2018-04-30 18:38:16	None	991023947423584256  1
1104042654	Cardi B and Offset with Sasha Obama https://t.co/rjoajAw2e8	2018-04-30 18:38:16	None	991023948119859200  1
514019583	Great article on the hit job by NYT on @DevinNunes Read the truth here. If it wasnt for the hard work of Nunes Committee, House Judiciary, Oversight and others we would never have known the truth. Look at former Obama Admin officials actions not words.  https://t.co/5pQeON9vdP	2018-04-30 18:38:16	None	991023948178579457  0
955833337729437701	 https://t.co/5wINGiKjz9	2018-04-30 18:38:16	None	991023948040212482  0
894388016516665345	Just a quick reminder that President Obama sent a secret letter to Ayatollah Ali Khamenei encouraging him toward a nuclear agreement in 2014. Or, you know, the Iran Deal.Why send secret letters, Obama?https://t.co/f8JwMIp089 https://t.co/gWOwvdEJzP	2018-04-30 18:38:16	None	991023948430180352  0
888050600218415104	The Obama administration is like a stain on American history. How could he and his henchmen have been so gullible, without having been willfully so. The Manchurian Candidate trolls are starting to look like geniuses. This Obama was really a bad guy. https://t.co/0GJMu7tr7R	2018-04-30 18:38:16	None	991023948883222528  0
